method,lambda,cost,performance
CARROT-Linear,9.595959595959596e-05,749.1250403616403,0.7152809170164676
MIRT,9.595959595959596e-05,502.8623829512431,0.6807232805941235
CoRE,9.696969696969696e-05,589.285598966742,0.709711010655473
CARROT-Linear,9.696969696969696e-05,731.6786890539231,0.7143445269615758
MIRT,9.696969696969696e-05,497.40690184049083,0.6805456893768163
CoRE,9.797979797979798e-05,576.2871327090733,0.7088069099128189
CARROT-Linear,9.797979797979798e-05,716.4399015175977,0.713214401033258
MIRT,9.797979797979798e-05,492.79409105586046,0.6804649660962222
CoRE,9.898989898989899e-05,569.1863819825638,0.7081772683241848
CARROT-Linear,9.898989898989899e-05,696.847554084598,0.7110671617694544
MIRT,9.898989898989899e-05,486.88075556990634,0.6795285760413303
CoRE,0.0001,561.8752744591541,0.7072893122376495
CARROT-Linear,0.0001,676.9318937681627,0.7096787213432354
MIRT,0.0001,483.7617775266387,0.6793348401679045
